job_id,arrival_time,duration,res_0,res_1
0,0,12,2,1
1,1,3,2,1
2,2,8,2,1
3,3,8,1,1
4,4,2,1,1
5,5,15,6,4
6,6,5,3,2
7,7,12,1,2
8,8,15,2,1
9,9,2,1,1
10,10,5,1,1
11,11,5,2,2
12,12,2,3,2
13,13,12,1,1
14,14,12,1,1
15,15,2,1,1
16,16,3,1,1
17,19,5,2,2
18,20,2,1,1
19,21,3,1,1
20,22,3,2,1
21,23,2,1,2
22,24,15,4,3
23,25,8,1,1
24,26,5,3,1
25,27,3,2,3
26,28,8,2,2
27,30,2,1,1
28,31,5,2,2
29,32,3,1,1
30,33,2,2,1
31,34,5,1,1
32,35,2,1,1
33,36,3,2,2
34,37,3,1,1
35,38,3,3,3
36,39,3,2,1
37,40,2,3,2
38,41,8,2,2
39,42,2,2,1
40,43,3,1,1
41,44,5,1,1
42,45,12,2,1
43,46,8,1,1
44,47,3,1,1
45,48,2,1,2
46,49,12,1,1
47,50,12,4,5
48,51,8,3,3
49,52,8,4,4
50,53,2,2,2
51,54,5,1,1
52,55,2,1,1
53,56,12,1,1
54,57,12,1,1
55,58,2,2,2
56,59,12,1,1
57,60,3,1,1
58,61,5,2,3
59,62,3,4,5
60,63,3,1,1
61,64,8,2,2
62,65,3,3,4
63,66,8,2,2
64,67,5,1,1
65,68,5,4,4
66,69,8,1,1
67,70,3,1,1
68,71,3,5,5
69,72,3,4,4
70,73,3,1,1
71,74,12,2,2
72,75,2,1,1
73,76,2,2,2
74,77,5,1,2
75,78,8,2,1
76,79,5,2,2
77,80,8,1,1
78,81,5,1,1
79,82,8,1,1
80,83,8,1,1
81,84,2,1,1
82,85,12,5,6
83,86,8,1,1
84,87,5,1,1
85,88,2,1,1
86,89,2,2,2
87,90,3,2,1
88,91,5,1,1
89,92,2,1,1
90,93,2,1,1
91,94,12,3,3
92,95,5,2,2
93,96,2,1,1
94,97,3,1,1
95,98,3,4,4
96,99,8,3,2
97,100,3,1,1
98,101,5,2,1
99,102,5,2,2
100,103,5,1,2
101,104,3,1,1
102,105,5,3,2
103,106,8,1,2
104,107,3,1,1
105,108,3,3,3
106,109,12,2,1
107,110,5,1,1
108,111,2,1,1
109,112,3,3,2
110,113,2,3,3
111,114,2,3,3
112,116,2,5,5
113,117,12,1,1
114,118,2,2,2
115,119,2,5,7
116,120,12,1,1
117,121,8,1,1
118,122,2,2,2
119,123,8,3,3
120,124,8,2,2
121,125,2,2,1
122,126,2,3,4
123,127,2,2,2
124,128,15,3,2
125,129,8,1,1
126,132,2,3,2
127,133,2,1,1
128,134,5,3,3
129,135,5,3,2
130,136,5,3,3
131,137,2,1,1
132,139,12,1,1
133,140,3,4,4
134,141,12,3,2
135,142,3,1,1
136,143,5,1,1
137,144,5,1,1
138,145,15,1,1
139,146,12,1,1
140,147,5,1,1
141,148,5,3,4
142,150,5,1,2
143,151,3,2,1
144,152,3,1,1
145,153,8,1,1
146,154,2,1,1
147,155,3,3,2
148,157,8,1,1
149,158,8,1,1
150,159,15,2,2
151,160,2,1,1
152,161,2,1,1
153,162,8,1,1
154,164,12,1,1
155,165,5,1,1
156,166,5,1,1
157,167,3,1,1
158,168,2,1,2
159,169,2,2,2
160,172,3,2,2
161,173,12,4,5
162,174,3,1,1
163,175,2,1,1
164,176,8,3,2
165,179,5,2,2
166,182,3,2,3
167,183,12,5,5
168,184,8,1,1
169,185,5,1,1
170,186,8,1,2
171,188,5,1,1
172,189,3,1,1
