job_id,arrival_time,duration,res_0,res_1
0,1,12,2,1
1,2,3,2,1
2,3,8,2,1
3,4,8,1,1
4,5,2,1,1
5,6,15,6,4
6,7,5,3,2
7,8,12,1,2
8,9,15,2,1
9,10,2,1,1
10,11,5,1,1
11,12,5,2,2
12,13,2,3,2
13,14,12,1,1
14,15,12,1,1
15,16,2,1,1
16,17,3,1,1
17,20,5,2,2
18,21,2,1,1
19,22,3,1,1
20,23,3,2,1
21,24,2,1,2
22,25,15,4,3
23,26,8,1,1
24,27,5,3,1
25,28,3,2,3
26,29,8,2,2
27,31,2,1,1
28,32,5,2,2
29,33,3,1,1
30,34,2,2,1
31,35,5,1,1
32,36,2,1,1
33,37,3,2,2
34,38,3,1,1
35,39,3,3,3
36,40,3,2,1
37,41,2,3,2
38,42,8,2,2
39,43,2,2,1
40,44,3,1,1
41,45,5,1,1
42,46,12,2,1
43,47,8,1,1
44,48,3,1,1
45,49,2,1,2
46,50,12,1,1
47,51,12,4,5
48,52,8,3,3
49,53,8,4,4
50,54,2,2,2
51,55,5,1,1
52,56,2,1,1
53,57,12,1,1
54,58,12,1,1
55,59,2,2,2
56,60,12,1,1
57,61,3,1,1
58,62,5,2,3
59,63,3,4,5
60,64,3,1,1
61,65,8,2,2
62,66,3,3,4
63,67,8,2,2
64,68,5,1,1
65,69,5,4,4
66,70,8,1,1
67,71,3,1,1
68,72,3,5,5
69,73,3,4,4
70,74,3,1,1
71,75,12,2,2
72,76,2,1,1
73,77,2,2,2
74,78,5,1,2
75,79,8,2,1
76,80,5,2,2
77,81,8,1,1
78,82,5,1,1
79,83,8,1,1
80,84,8,1,1
81,85,2,1,1
82,86,12,5,6
83,87,8,1,1
84,88,5,1,1
85,89,2,1,1
86,90,2,2,2
87,91,3,2,1
88,92,5,1,1
89,93,2,1,1
90,94,2,1,1
91,95,12,3,3
92,96,5,2,2
93,97,2,1,1
94,98,3,1,1
95,99,3,4,4
96,100,8,3,2
97,101,3,1,1
98,102,5,2,1
99,103,5,2,2
100,104,5,1,2
101,105,3,1,1
102,106,5,3,2
103,107,8,1,2
104,108,3,1,1
105,109,3,3,3
106,110,12,2,1
107,111,5,1,1
108,112,2,1,1
109,113,3,3,2
110,114,2,3,3
111,115,2,3,3
112,117,2,5,5
113,118,12,1,1
114,119,2,2,2
115,120,2,5,7
116,121,12,1,1
117,122,8,1,1
118,123,2,2,2
119,124,8,3,3
120,125,8,2,2
121,126,2,2,1
122,127,2,3,4
123,128,2,2,2
124,129,15,3,2
125,130,8,1,1
126,133,2,3,2
127,134,2,1,1
128,135,5,3,3
129,136,5,3,2
130,137,5,3,3
131,138,2,1,1
132,140,12,1,1
133,141,3,4,4
134,142,12,3,2
135,143,3,1,1
136,144,5,1,1
137,145,5,1,1
138,146,15,1,1
139,147,12,1,1
140,148,5,1,1
141,149,5,3,4
142,151,5,1,2
143,152,3,2,1
144,153,3,1,1
145,154,8,1,1
146,155,2,1,1
147,156,3,3,2
148,158,8,1,1
149,159,8,1,1
150,160,15,2,2
151,161,2,1,1
152,162,2,1,1
153,163,8,1,1
154,165,12,1,1
155,166,5,1,1
156,167,5,1,1
157,168,3,1,1
158,169,2,1,2
159,170,2,2,2
160,173,3,2,2
161,174,12,4,5
162,175,3,1,1
163,176,2,1,1
164,177,8,3,2
165,180,5,2,2
166,183,3,2,3
167,184,12,5,5
168,185,8,1,1
169,186,5,1,1
170,187,8,1,2
171,189,5,1,1
172,190,3,1,1
173,191,2,3,2
174,192,3,1,1
175,199,5,1,1
176,200,3,3,4
177,201,5,2,2
178,202,3,1,1
179,204,5,1,2
180,205,2,1,1
181,208,3,1,1
182,215,8,4,3
183,216,3,1,1
184,217,2,1,1
185,219,15,1,1
186,221,3,1,2
187,223,2,1,1
188,225,2,3,3
189,226,5,1,1
190,227,2,1,1
191,228,2,2,2
192,229,5,1,1
193,230,5,1,1
194,231,5,2,2
195,232,12,2,2
196,234,2,1,1
197,235,2,1,1
198,236,12,4,3
199,237,2,1,1
200,239,5,1,2
201,240,5,2,2
202,241,12,1,1
203,242,12,3,3
204,243,2,1,1
205,244,2,1,1
206,245,5,1,1
207,246,5,1,2
208,247,3,1,2
209,248,3,2,3
210,249,3,3,2
211,250,5,2,2
212,252,2,1,1
213,253,8,4,4
214,254,12,1,1
215,255,5,2,2
216,262,5,1,1
217,263,3,1,1
218,264,2,2,1
219,265,12,2,2
220,266,8,2,1
221,267,2,1,1
222,268,2,2,1
223,269,3,1,1
224,270,12,2,1
225,271,2,2,1
226,272,3,1,2
227,273,8,1,1
228,274,15,1,1
229,275,3,2,2
230,277,3,7,5
231,278,3,1,1
232,279,8,1,1
233,280,2,2,2
234,282,5,1,1
235,283,3,1,1
236,284,2,1,1
237,285,5,1,1
238,286,15,1,1
239,287,3,1,1
240,288,3,1,1
241,289,5,1,1
242,290,12,1,1
243,291,5,1,1
244,292,2,5,5
245,293,3,1,1
246,294,2,1,1
247,295,5,1,1
248,297,5,1,1
249,298,2,2,2
250,299,3,1,1
251,300,5,2,2
252,301,5,1,1
253,302,8,1,2
254,303,3,1,1
255,304,3,5,7
256,305,2,1,1
257,306,3,1,1
258,308,2,1,1
259,309,8,2,1
260,310,2,1,1
261,311,2,3,3
262,312,15,2,2
263,313,2,2,2
264,314,5,3,3
265,315,12,1,1
266,316,3,1,1
267,317,3,2,1
268,318,8,1,1
269,319,3,2,1
270,320,8,2,2
271,321,3,2,2
272,322,8,1,2
273,323,8,3,2
274,324,5,3,2
275,325,12,1,1
276,326,8,1,1
277,327,2,3,2
278,328,8,1,1
279,329,2,2,2
280,330,3,1,1
281,331,3,3,3
282,332,5,1,1
283,333,2,1,1
284,334,5,1,1
285,335,5,1,1
286,336,5,2,2
287,337,3,1,1
288,338,8,6,6
289,340,8,1,1
290,341,8,1,2
291,342,5,1,1
292,343,12,1,1
293,344,3,4,3
294,345,15,1,1
295,346,2,1,1
296,347,2,2,2
297,349,2,2,2
298,350,2,1,1
299,351,8,1,1
300,353,2,3,2
301,354,3,1,1
302,355,5,3,3
303,356,5,1,1
304,358,3,1,1
305,361,5,1,1
306,362,3,1,1
307,363,5,2,2
308,364,2,3,4
309,365,2,3,2
310,366,2,1,1
311,367,2,2,2
312,368,2,1,1
313,369,12,3,3
314,370,2,3,2
315,371,5,1,1
316,372,5,1,1
317,373,5,1,2
318,374,12,2,1
319,375,8,2,2
320,377,8,1,1
321,378,2,1,2
322,379,2,1,1
323,380,5,1,1
324,381,5,2,2
325,382,5,3,3
326,383,8,2,2
327,386,3,1,1
328,387,2,2,1
329,388,2,2,1
330,389,15,1,1
331,390,3,4,4
332,391,5,2,2
333,392,5,2,2
334,393,2,1,1
335,394,2,1,2
336,395,8,1,1
337,396,3,1,1
338,397,8,1,2
339,398,5,1,1
340,400,3,3,3
341,401,3,1,2
342,402,5,2,2
343,403,2,4,4
344,404,3,2,3
345,405,15,1,1
346,406,3,1,1
347,407,15,1,1
348,408,3,2,1
349,409,5,2,2
350,410,12,1,1
351,411,15,1,1
352,416,5,1,1
353,417,3,1,1
354,418,3,1,1
355,419,3,1,1
356,420,2,1,1
357,421,3,2,3
358,422,5,2,2
359,423,2,2,2
360,425,2,2,1
361,426,5,2,1
362,427,5,1,2
363,432,3,1,1
364,433,3,5,4
365,434,2,2,2
366,435,12,3,3
367,436,8,1,2
368,437,12,4,4
369,442,15,3,2
370,443,5,1,1
371,444,3,2,2
372,448,8,1,1
373,449,5,1,1
374,450,8,1,1
375,453,8,1,2
376,454,8,1,1
377,455,2,1,1
378,458,12,1,1
379,461,2,4,5
380,468,5,1,1
381,469,5,2,2
382,470,2,2,1
383,471,5,2,2
384,472,8,1,1
385,473,3,3,4
386,474,8,2,3
387,475,3,3,4
388,476,8,1,1
389,479,8,3,3
390,480,5,1,1
391,481,3,1,1
392,482,3,1,1
393,492,2,1,1
394,493,5,1,1
395,494,3,2,1
396,495,3,1,2
397,496,12,2,2
398,497,2,2,2
399,498,2,2,2
400,499,5,2,1
401,500,8,1,1
402,501,3,2,1
403,503,3,1,1
404,504,2,1,1
405,505,8,2,2
406,506,8,2,2
407,507,2,1,1
408,508,8,3,4
409,509,2,1,1
410,510,2,3,3
411,511,2,1,1
412,512,12,3,3
413,514,2,2,1
414,515,5,1,1
415,516,3,3,3
416,517,2,3,2
417,518,15,1,1
418,519,2,1,1
419,520,3,1,1
420,521,2,1,1
421,522,3,1,1
422,523,3,3,4
423,524,12,1,1
424,525,8,4,3
425,526,3,1,1
426,527,2,2,2
427,528,2,2,1
428,529,3,1,1
429,530,2,1,1
430,531,8,3,3
431,532,12,1,1
432,533,8,2,1
433,534,5,3,2
434,536,8,1,1
435,538,2,2,3
436,539,5,2,1
437,540,8,1,1
438,541,3,1,1
439,542,5,2,2
440,543,5,1,1
441,544,12,1,1
442,545,5,1,1
443,546,5,1,1
444,547,2,2,2
445,548,3,1,1
446,549,5,3,2
447,550,3,4,2
448,551,5,1,1
449,554,8,1,1
450,555,5,3,3
451,557,2,1,1
452,558,12,1,1
