job_id,arrival_time,duration,res_0,res_1
0,0,15,1,4
1,3000000,15,1,1
2,6000000,15,4,4
3,7000000,15,1,3
4,7000000,15,4,1
5,8000000,15,2,3
6,10000000,15,1,3
7,11000000,15,1,3
8,13000000,15,4,2
9,13000000,15,4,3
10,17000000,15,2,5
11,18000000,15,1,3
12,20000000,15,1,4
13,20000000,15,2,4
14,21000000,15,1,1
15,23000000,15,2,3
16,25000000,15,1,1
17,26000000,15,4,1
18,27000000,15,1,2
19,28000000,15,1,3
20,29000000,15,1,2
21,29000000,15,4,1
22,30000000,15,1,1
23,31000000,15,3,1
24,31000000,15,1,2
25,32000000,15,3,3
26,32000000,15,5,2
27,33000000,15,1,4
28,33000000,15,2,1
29,34000000,15,1,1
30,36000000,15,1,1
31,37000000,15,1,1
32,38000000,15,2,1
33,39000000,15,2,3
34,41000000,15,2,3
35,42000000,15,5,4
36,43000000,15,1,5
37,46000000,15,2,4
38,47000000,15,5,2
39,47000000,15,1,1
40,49000000,15,1,3
41,50000000,15,3,2
42,52000000,15,1,3
43,53000000,15,3,1
44,53000000,15,1,2
45,54000000,15,1,1
46,54000000,15,5,1
47,55000000,15,6,4
48,57000000,15,4,3
49,57000000,15,2,2
50,61000000,15,4,3
51,63000000,15,5,2
52,65000000,15,4,4
53,66000000,15,2,1
54,68000000,15,1,2
55,69000000,15,2,4
56,70000000,15,5,2
57,72000000,15,2,1
58,72000000,15,1,1
59,74000000,15,1,3
60,75000000,15,1,1
61,77000000,15,1,4
62,77000000,15,4,1
63,78000000,15,1,1
64,80000000,15,2,3
65,80000000,15,1,3
66,82000000,15,2,2
67,83000000,15,1,3
68,84000000,15,1,4
69,85000000,15,5,3
70,87000000,15,3,4
71,89000000,15,4,1
72,90000000,15,2,1
73,92000000,15,3,1
74,95000000,15,2,3
75,100000000,15,1,2
76,100000000,15,1,1
77,102000000,15,1,1
78,104000000,15,1,3
79,105000000,15,4,1
80,105000000,15,5,3
81,108000000,15,2,2
82,109000000,15,3,3
83,110000000,15,2,3
84,114000000,15,2,4
85,114000000,15,3,2
86,115000000,15,1,6
87,115000000,15,3,1
88,116000000,15,2,2
89,120000000,15,3,2
90,126000000,15,1,4
91,126000000,15,1,2
92,127000000,15,3,1
93,129000000,15,1,3
94,133000000,15,1,2
95,134000000,15,2,3
96,135000000,15,4,2
97,136000000,15,2,1
98,137000000,15,5,1
99,138000000,15,2,3
100,139000000,15,2,3
101,140000000,15,1,3
102,141000000,15,2,2
103,142000000,15,1,2
104,143000000,15,2,4
105,143000000,15,1,1
106,144000000,15,3,1
107,147000000,15,1,4
108,148000000,15,1,1
109,148000000,15,2,1
110,151000000,15,2,2
111,153000000,15,2,1
112,160000000,15,2,2
113,161000000,15,2,3
114,161000000,15,1,2
115,162000000,15,3,4
116,165000000,15,1,2
117,175000000,15,1,6
118,176000000,15,2,4
119,176000000,15,1,2
120,178000000,15,4,6
121,178000000,15,3,4
122,179000000,15,2,7
123,180000000,15,3,1
124,181000000,15,2,2
125,184000000,15,3,1
126,185000000,15,2,3
127,187000000,15,2,1
128,188000000,15,4,1
129,189000000,15,2,1
130,189000000,15,4,1
131,189000000,15,4,4
132,192000000,15,4,1
133,192000000,15,3,4
134,194000000,15,5,1
135,195000000,15,4,2
136,199000000,15,1,3
137,201000000,15,1,3
138,203000000,15,2,6
139,204000000,15,1,2
140,205000000,15,2,3
141,205000000,15,1,2
142,206000000,15,1,3
143,206000000,15,5,1
144,207000000,15,2,2
145,208000000,15,2,5
146,209000000,15,1,7
147,210000000,15,1,2
148,210000000,15,4,1
149,211000000,15,6,4
150,212000000,15,2,3
151,215000000,15,1,1
152,216000000,15,2,1
