job_id,arrival_time,duration,res_0,res_1
0,1,2,1,4
1,4,3,1,1
2,7,1,4,4
3,8,3,1,3
4,8,2,4,1
5,9,2,2,3
6,11,3,1,3
7,12,2,1,3
8,14,11,4,2
9,14,1,4,3
10,18,2,2,5
11,19,1,1,3
12,21,2,1,4
13,21,1,2,4
14,22,3,1,1
15,24,1,2,3
16,26,3,1,1
17,27,8,4,1
18,28,5,1,2
19,29,1,1,3
20,30,2,1,2
21,30,3,4,1
22,31,14,1,1
23,32,2,3,1
24,32,2,1,2
25,33,2,3,3
26,33,8,5,2
27,34,6,1,4
28,34,3,2,1
29,35,3,1,1
30,37,3,1,1
31,38,3,1,1
32,39,1,2,1
33,40,3,2,3
34,42,3,2,3
35,43,3,5,4
36,44,2,1,5
37,47,1,2,4
38,48,3,5,2
39,48,3,1,1
40,50,11,1,3
41,51,1,3,2
42,53,1,1,3
43,54,3,3,1
44,54,9,1,2
45,55,9,1,1
46,55,1,5,1
47,56,6,6,4
48,58,5,4,3
49,58,2,2,2
50,62,1,4,3
51,64,2,5,2
52,66,7,4,4
53,67,3,2,1
54,69,13,1,2
55,70,3,2,4
56,71,4,5,2
57,73,3,2,1
58,73,11,1,1
59,75,14,1,3
60,76,3,1,1
61,78,2,1,4
62,78,13,4,1
63,79,14,1,1
64,81,1,2,3
65,81,3,1,3
66,83,1,2,2
67,84,1,1,3
68,85,11,1,4
69,86,4,5,3
70,88,3,3,4
71,90,9,4,1
72,91,7,2,1
73,93,3,3,1
74,96,10,2,3
75,101,3,1,2
76,101,2,1,1
77,103,1,1,1
78,105,2,1,3
79,106,3,4,1
80,106,1,5,3
81,109,1,2,2
82,110,3,3,3
83,111,10,2,3
84,115,2,2,4
85,115,1,3,2
86,116,1,1,6
87,116,2,3,1
88,117,11,2,2
89,121,5,3,2
90,127,9,1,4
91,127,2,1,2
92,128,2,3,1
93,130,1,1,3
94,134,3,1,2
95,135,11,2,3
96,136,2,4,2
97,137,3,2,1
98,138,2,5,1
99,139,3,2,3
100,140,1,2,3
101,141,1,1,3
102,142,10,2,2
103,143,1,1,2
104,144,2,2,4
105,144,1,1,1
106,145,1,3,1
107,148,1,1,4
108,149,2,1,1
109,149,1,2,1
110,152,1,2,2
111,154,9,2,1
112,161,10,2,2
113,162,3,2,3
114,162,2,1,2
115,163,1,3,4
116,166,3,1,2
117,176,2,1,6
118,177,10,2,4
119,177,1,1,2
120,179,5,4,6
121,179,1,3,4
122,180,3,2,7
123,181,2,3,1
124,182,6,2,2
125,185,4,3,1
126,186,3,2,3
127,188,2,2,1
128,189,9,4,1
129,190,1,2,1
130,190,1,4,1
131,190,4,4,4
132,193,7,4,1
133,193,3,3,4
134,195,3,5,1
135,196,4,4,2
136,200,1,1,3
137,202,5,1,3
138,204,10,2,6
139,205,4,1,2
140,206,1,2,3
141,206,1,1,2
142,207,2,1,3
143,207,1,5,1
144,208,1,2,2
145,209,3,2,5
146,210,1,1,7
147,211,1,1,2
148,211,1,4,1
149,212,3,6,4
150,213,6,2,3
151,216,9,1,1
152,217,2,2,1
153,218,6,2,1
154,219,1,1,1
155,225,1,1,2
156,227,2,4,3
157,232,1,3,2
158,239,1,4,2
159,239,2,1,4
160,240,3,3,3
161,242,6,1,1
162,244,2,5,3
163,245,9,3,1
164,246,2,2,5
165,248,1,1,2
166,248,1,2,2
167,249,7,1,4
168,249,1,3,3
169,250,1,1,2
170,251,2,2,2
171,253,11,2,4
172,255,2,2,3
173,256,7,2,1
174,258,9,3,1
175,259,3,1,4
176,259,2,1,2
177,260,8,3,4
178,261,15,1,2
179,262,11,2,1
180,263,1,7,5
181,265,7,5,5
182,265,1,4,4
183,267,3,4,2
184,268,1,1,1
185,268,1,1,5
186,269,5,1,4
187,270,2,5,3
188,271,2,2,4
189,272,15,1,1
190,272,2,3,1
191,273,2,1,2
192,276,1,1,3
193,277,14,3,2
194,277,2,1,1
195,278,1,3,3
196,279,1,2,3
197,284,1,1,1
198,284,3,2,3
199,285,3,2,2
200,287,1,1,2
201,287,2,4,1
202,289,2,4,1
203,291,1,1,5
204,293,6,2,3
205,294,1,1,1
206,296,3,1,3
207,297,14,1,2
208,299,3,1,3
209,300,3,2,1
210,301,10,4,2
211,302,2,2,2
212,304,2,6,1
213,304,3,3,1
214,305,2,1,5
215,306,2,1,1
216,311,8,2,1
217,313,3,1,2
218,314,1,2,5
219,316,3,2,5
220,316,9,2,1
221,317,2,1,3
222,318,2,1,1
223,318,8,3,2
224,320,10,1,3
225,320,1,5,3
226,321,10,2,4
227,321,1,6,1
228,321,1,4,2
229,321,2,2,4
230,324,2,2,5
231,328,1,3,4
232,329,2,3,5
233,332,2,1,2
234,333,10,1,1
235,333,11,1,1
236,334,2,1,2
237,335,3,1,3
238,336,5,2,1
239,337,11,3,4
240,339,2,2,1
241,339,6,1,7
242,340,1,1,1
243,341,9,5,2
244,341,10,4,2
245,342,2,1,3
246,345,1,2,3
247,349,2,1,3
248,350,2,3,1
249,352,2,1,2
250,354,3,1,2
251,356,3,5,3
252,359,9,5,1
253,359,1,2,2
254,361,1,4,3
255,367,1,2,3
256,370,3,4,3
257,370,3,4,1
258,372,5,2,2
259,375,2,2,1
260,376,2,1,1
261,377,11,1,1
262,381,1,6,3
263,381,1,1,4
264,383,3,2,2
265,384,1,2,2
266,384,2,3,2
267,387,2,1,1
268,389,3,1,7
269,389,3,3,1
270,391,3,1,1
271,391,2,3,3
272,391,2,2,1
273,392,2,2,2
274,393,3,3,7
275,395,2,1,2
276,396,3,1,1
277,397,1,1,2
278,399,4,2,1
279,400,2,1,2
280,402,3,1,1
281,404,10,2,6
282,405,11,3,1
283,407,8,1,1
284,407,3,1,2
285,407,2,1,1
286,411,3,4,5
287,413,3,2,1
288,414,2,3,1
289,415,10,2,2
290,416,2,3,6
291,417,5,1,1
292,417,2,1,1
293,419,3,1,4
294,419,7,2,1
295,422,1,2,4
296,423,1,1,3
297,423,10,2,3
298,424,2,2,3
299,425,2,2,3
300,426,11,1,1
301,426,12,1,3
302,428,4,1,4
303,454,2,2,7
304,454,1,1,1
305,455,3,2,1
306,456,1,4,3
307,457,7,2,2
308,457,9,3,3
309,458,1,2,7
310,459,2,6,1
311,460,1,4,8
312,465,3,4,3
313,465,9,2,2
314,466,1,1,6
315,480,3,2,3
316,481,6,1,4
317,481,9,1,2
318,482,2,1,2
319,483,10,1,2
320,485,8,1,1
321,486,5,2,5
322,487,3,1,3
323,488,2,2,1
324,499,1,2,3
325,502,3,3,1
326,502,2,5,3
327,503,4,3,4
328,503,2,2,4
329,505,2,2,1
330,506,2,3,3
331,512,3,1,3
332,514,2,1,3
333,516,2,2,3
334,517,8,2,1
335,518,2,1,2
336,520,9,2,2
337,523,1,3,1
338,524,7,1,3
339,525,13,1,2
340,528,10,3,1
341,529,9,1,4
342,530,15,1,4
343,531,9,1,2
344,532,8,1,1
345,532,2,1,2
346,532,3,4,3
347,535,11,2,2
348,536,3,1,2
349,537,3,2,2
350,540,2,1,1
351,541,2,2,4
352,543,1,4,2
353,543,8,2,3
354,544,2,1,1
355,545,7,3,2
356,549,10,4,2
357,555,3,3,5
358,558,3,2,2
359,559,3,1,2
360,559,7,1,2
361,560,10,1,1
362,561,1,2,2
363,564,3,2,2
364,565,5,1,2
365,566,2,1,1
366,566,1,1,3
367,568,2,1,3
368,568,3,1,2
