job_id,arrival_time,duration,res_0,res_1
0,0,2,3,9
1,0,1,3,2
2,0,15,1,7
3,0,13,1,3
4,2,2,8,2
5,2,2,8,2
6,3,3,2,3
7,3,2,10,3
8,3,3,8,1
9,4,2,2,8
10,5,1,5,3
11,7,3,4,3
12,7,13,3,1
13,8,3,10,3
14,9,11,3,4
15,9,2,2,6
16,9,1,8,1
17,9,1,2,10
18,10,10,5,3
19,10,13,2,5
20,13,3,3,5
21,13,11,6,3
22,14,1,2,5
23,14,15,1,3
24,16,2,1,9
25,16,3,1,4
26,16,2,8,3
27,16,1,3,5
28,17,2,4,3
29,18,10,3,8
30,18,3,6,1
31,18,1,3,8
32,18,3,3,3
33,20,12,1,10
34,21,15,1,9
35,21,1,2,3
36,21,15,5,2
37,22,3,1,5
38,22,3,1,5
39,22,15,1,7
40,22,1,3,8
41,23,3,10,2
42,23,3,9,1
43,24,2,3,9
44,25,1,2,7
45,25,14,10,2
46,25,3,6,2
47,26,11,1,10
48,26,2,2,3
49,27,3,2,5
50,27,2,1,5
51,27,15,7,3
52,30,2,3,1
53,31,15,1,3
54,32,2,7,3
55,32,2,1,10
56,33,12,8,2
57,34,2,2,8
58,35,1,1,7
59,35,12,2,3
60,35,1,2,10
61,35,10,3,10
62,36,3,1,8
63,37,2,9,3
64,38,2,8,2
65,38,3,6,1
66,39,2,7,1
67,39,1,9,2
68,41,1,2,4
69,41,2,3,5
70,43,1,10,3
71,43,2,1,6
72,44,2,3,7
73,46,1,10,2
74,47,1,10,1
75,50,2,1,3
76,50,1,1,6
77,51,3,10,1
78,52,2,2,3
79,53,3,1,4
80,54,2,3,8
81,55,1,2,9
82,55,3,1,6
83,56,1,1,9
84,57,1,3,4
85,58,2,4,2
86,58,2,3,3
87,59,3,1,4
88,59,2,2,4
89,60,3,3,8
90,60,3,4,1
91,60,3,2,5
92,61,3,7,1
93,61,3,8,1
94,62,3,3,10
95,64,2,6,3
96,65,2,9,1
97,66,13,4,1
98,66,3,10,2
99,66,3,2,9
100,70,3,3,4
101,71,2,5,3
102,71,10,3,10
103,72,14,9,2
104,73,3,3,3
105,74,14,3,2
106,75,1,8,2
107,76,1,1,7
108,79,3,3,6
109,79,2,3,5
110,79,2,1,10
111,80,1,1,4
112,80,1,3,1
113,81,3,1,3
114,81,3,2,8
115,81,14,2,6
116,84,1,9,1
117,84,2,3,10
118,85,1,1,8
119,86,3,3,7
120,87,2,3,2
121,89,3,5,3
122,90,1,10,1
123,92,1,7,1
124,93,3,3,4
125,94,1,1,4
126,94,10,1,5
127,94,3,10,2
128,95,11,9,1
129,95,3,2,8
130,95,1,7,3
131,96,10,2,4
132,96,3,3,2
133,96,2,2,4
134,98,3,7,1
135,98,2,2,8
136,99,2,3,3
137,100,1,8,1
138,101,2,6,3
139,102,2,3,4
140,102,1,3,10
141,103,2,1,5
142,103,14,10,3
143,105,2,1,3
144,105,3,7,2
145,105,2,10,2
146,105,3,6,2
147,106,1,3,3
148,106,2,2,8
149,107,2,3,10
150,107,3,2,9
151,109,12,2,8
152,109,2,2,6
153,111,1,2,6
154,112,2,9,1
155,114,2,3,5
156,115,10,2,8
157,115,2,10,3
158,115,11,1,10
159,116,2,3,7
160,117,1,8,2
161,118,10,3,1
162,118,3,10,2
163,120,13,10,3
164,120,3,1,9
165,121,2,6,1
166,121,1,1,3
167,122,14,2,3
168,122,3,1,10
169,122,3,3,2
170,122,2,1,4
171,123,11,2,9
172,124,3,2,8
173,124,11,6,1
174,125,1,1,4
175,127,2,6,3
176,128,14,9,2
177,128,2,7,1
178,128,2,1,8
179,129,1,3,4
180,129,1,7,1
181,129,2,1,10
182,130,14,5,1
183,130,2,2,8
184,132,2,3,8
185,135,14,7,3
186,136,3,3,1
187,137,1,2,6
188,137,2,6,3
189,137,3,3,3
190,138,10,5,1
191,139,3,3,1
192,140,2,7,1
193,142,2,6,1
194,142,1,5,1
195,143,1,3,1
196,145,3,3,7
197,145,3,2,4
198,145,1,4,2
199,146,3,3,5
200,147,2,8,2
201,147,3,1,3
202,147,12,7,1
203,150,2,1,9
204,152,1,1,6
205,152,3,2,4
206,152,3,1,3
207,152,2,8,1
208,153,2,4,2
209,153,2,3,8
210,153,2,1,6
211,154,3,1,8
212,154,3,6,2
213,155,3,10,1
214,156,1,2,6
215,156,1,1,7
216,156,2,8,2
217,157,14,3,1
218,158,2,1,5
219,159,3,6,2
220,159,1,10,2
221,159,12,8,1
222,160,2,1,9
223,160,3,2,9
224,161,15,1,9
225,162,2,3,3
226,162,3,2,9
227,162,11,1,5
228,163,3,9,3
229,163,1,3,6
230,163,1,3,3
231,164,1,8,1
232,166,1,1,5
233,166,1,9,3
234,168,1,5,1
235,169,10,3,6
236,169,14,6,2
237,169,1,3,9
238,169,10,3,5
239,169,1,8,1
240,170,3,2,8
241,170,2,3,1
242,171,2,3,3
243,172,3,3,3
244,173,2,1,8
245,173,3,3,4
246,173,15,3,6
247,174,1,3,4
248,174,2,6,3
249,174,3,3,9
250,175,3,6,1
251,176,12,1,8
252,177,2,3,2
253,177,3,2,9
254,177,14,2,7
255,178,2,2,8
256,179,2,1,9
257,179,2,5,3
258,179,3,1,4
259,180,2,3,5
260,180,14,10,2
261,181,14,3,3
262,181,2,3,1
263,182,2,3,1
264,182,2,1,7
265,183,2,4,1
266,184,3,4,3
267,185,2,2,8
268,185,3,5,3
269,186,2,3,10
270,186,2,1,8
271,186,12,3,10
272,189,1,3,7
273,190,2,6,1
274,190,1,3,1
275,192,2,3,3
276,192,2,5,2
277,193,3,2,9
278,193,2,2,5
279,193,2,4,2
280,194,12,3,7
281,194,3,10,2
282,194,3,2,10
283,194,1,8,3
284,194,3,1,8
285,194,2,4,3
286,196,3,6,1
287,196,3,4,3
288,196,2,2,7
289,196,1,5,1
290,197,12,8,3
291,197,1,2,8
292,197,2,3,8
293,199,3,3,5
294,201,2,3,7
295,201,12,7,3
296,202,3,5,3
297,204,3,9,3
298,205,1,3,10
299,206,3,2,10
300,206,14,1,3
301,206,3,5,1
302,209,3,8,3
303,210,3,1,4
304,210,2,6,3
305,210,1,1,7
306,211,1,3,6
307,211,1,2,3
308,211,13,2,5
309,212,3,4,2
310,212,1,6,2
311,212,1,3,1
312,213,12,3,2
313,214,1,10,3
314,217,11,9,2
315,217,3,3,7
316,218,14,8,3
317,218,3,5,2
318,219,12,7,3
319,219,15,1,4
320,221,2,3,8
321,222,2,10,3
322,223,1,8,3
323,223,1,1,6
324,224,3,2,9
325,225,11,3,8
326,225,2,9,3
327,225,3,1,4
328,226,3,1,6
329,227,3,5,2
330,228,10,8,3
331,229,2,1,4
332,229,1,4,2
333,229,3,3,3
334,229,3,6,2
335,230,2,7,3
336,231,2,3,1
337,231,15,2,5
338,232,1,2,4
339,232,11,4,1
340,232,2,3,5
341,232,1,1,3
342,233,3,10,3
343,234,3,9,1
344,237,3,1,9
345,238,3,5,2
346,238,3,7,3
347,238,2,3,3
348,241,12,2,9
349,241,10,2,4
350,242,2,1,7
351,244,2,4,3
352,244,1,3,9
353,244,2,9,3
354,246,1,9,1
355,246,3,6,2
356,247,2,10,1
357,248,15,2,7
358,248,3,1,6
359,249,3,7,2
360,249,13,4,1
361,251,3,3,8
362,252,2,8,1
363,252,2,2,5
364,252,1,3,3
365,252,1,3,8
366,252,12,1,4
367,253,3,3,10
368,253,3,3,3
369,254,3,3,8
370,255,3,4,2
371,255,2,5,2
372,255,3,8,3
373,256,10,9,2
374,260,3,3,6
375,260,11,9,3
376,261,2,5,3
377,262,1,3,9
378,264,1,8,3
379,264,3,5,3
380,264,2,6,1
