job_id,arrival_time,duration,res_0,res_1
0,0,15,9,10
1,0,15,9,10
2,0,15,9,10
3,0,15,9,10
4,0,15,9,10
5,0,15,9,10
6,0,15,9,10
7,0,15,9,10
8,0,15,9,10
9,0,15,9,10
10,0,15,9,10
11,0,15,9,10
12,0,15,9,10
13,0,15,9,10
14,0,15,6,5
15,0,15,9,10
16,0,15,6,4
17,0,15,9,10
18,0,15,9,10
19,0,15,9,10
20,0,15,9,10
21,0,15,9,10
22,0,15,6,6
23,0,15,9,10
24,0,15,9,10
25,0,15,9,10
26,0,15,9,10
27,0,15,9,10
28,0,15,9,10
29,0,15,9,10
30,0,15,9,10
31,0,15,9,10
32,0,15,9,10
33,0,15,9,10
34,0,15,9,10
35,0,15,9,10
36,0,15,9,10
37,0,15,9,10
38,0,15,9,10
39,0,15,9,10
40,0,15,9,10
41,0,15,9,10
42,0,15,9,10
43,0,15,9,10
44,0,15,9,10
45,0,15,9,10
46,0,15,9,10
47,0,15,9,10
48,0,15,6,6
49,0,15,10,10
50,0,15,9,10
51,0,15,9,10
52,0,15,9,10
53,0,15,9,10
54,0,15,9,10
55,0,15,9,10
56,0,15,9,10
57,0,15,9,10
58,0,15,9,10
59,0,15,9,10
60,0,15,9,10
61,0,15,9,10
62,0,15,9,10
63,0,15,9,10
64,0,15,9,10
65,0,15,9,10
66,0,15,9,10
67,0,15,9,10
68,0,15,9,10
69,0,15,9,10
70,0,15,9,10
71,0,15,9,10
72,0,15,9,10
73,0,15,9,10
74,0,15,9,10
75,0,15,9,10
76,0,15,9,10
77,0,15,9,10
78,0,15,9,10
79,0,15,9,10
80,0,15,9,10
81,0,15,9,10
82,0,15,9,10
83,0,15,9,10
84,0,15,6,4
85,0,15,9,10
86,0,15,9,10
87,0,15,9,10
88,0,15,9,10
89,0,15,9,10
90,0,15,9,10
91,0,15,9,10
92,0,15,9,10
93,0,15,9,10
94,0,15,9,10
95,0,15,9,10
96,0,15,9,10
97,0,15,9,10
98,0,15,9,10
99,0,15,9,10
100,0,15,9,10
101,0,15,9,10
102,0,15,9,10
103,0,15,9,10
104,0,15,9,10
105,0,15,9,10
106,0,15,9,10
107,0,15,9,10
108,0,15,9,10
109,0,15,9,10
110,0,15,9,10
111,0,15,6,5
112,0,15,9,10
113,0,15,9,10
114,0,15,9,10
115,0,15,9,10
116,0,15,9,10
117,0,15,9,10
118,0,15,9,10
119,0,15,9,10
120,0,15,9,10
121,0,15,9,10
122,0,15,6,6
123,0,15,6,5
124,0,15,9,10
125,0,15,9,10
126,0,15,9,10
127,0,15,9,10
128,0,15,9,10
129,0,15,9,10
130,0,15,9,10
131,0,15,9,10
132,0,15,9,10
133,0,15,9,10
134,0,15,9,10
135,0,15,9,10
136,0,15,9,10
137,0,15,9,10
138,0,15,9,10
139,0,15,9,10
140,0,15,9,10
141,0,15,9,10
142,0,15,9,10
143,0,15,9,10
144,0,15,9,10
145,0,15,9,10
146,0,15,9,10
147,0,15,9,10
148,0,15,9,10
149,0,15,9,10
150,0,15,9,10
151,0,15,9,10
152,0,15,9,10
153,0,15,9,10
154,0,15,9,10
155,0,15,9,10
156,0,15,9,10
157,0,15,9,10
158,0,15,9,10
159,0,15,9,10
160,0,15,9,10
161,0,15,9,10
162,0,15,6,4
163,0,15,9,10
164,0,15,9,10
165,0,15,9,10
166,0,15,9,10
167,0,15,9,10
168,0,15,9,10
169,0,15,9,10
170,0,15,9,10
171,0,15,9,10
172,0,15,9,10
173,0,15,9,10
174,0,15,9,10
175,0,15,9,10
176,0,15,9,10
177,0,15,9,10
178,0,15,6,5
179,0,15,9,10
180,0,15,9,10
181,0,15,9,10
182,0,15,9,10
183,0,15,9,10
184,0,15,6,3
185,0,15,9,10
186,0,15,9,10
187,0,15,9,10
188,0,15,9,10
189,0,15,9,10
190,0,15,9,10
191,0,15,9,10
192,0,15,9,10
193,0,15,9,10
194,0,15,9,10
195,0,15,9,10
196,0,15,9,10
197,0,15,9,10
198,0,15,9,10
199,0,15,9,10
200,0,15,9,10
201,0,15,9,10
202,0,15,9,10
203,0,15,9,10
204,0,15,9,10
205,76,1,6,3
206,76,1,6,3
207,76,3,6,3
208,76,3,6,3
209,76,5,6,3
210,76,1,6,3
211,76,1,6,5
212,76,1,6,4
213,76,1,6,4
214,76,1,6,6
215,76,15,6,6
216,76,1,6,4
217,317,15,6,4
218,317,15,6,4
219,325,1,6,3
220,325,14,6,3
221,325,1,6,5
222,325,1,6,4
223,325,15,6,6
224,351,15,2,6
225,351,1,2,4
226,351,1,2,2
227,351,15,2,2
228,351,15,2,4
229,418,15,2,3
230,418,8,2,4
231,418,2,2,3
232,418,15,2,2
233,418,7,2,2
234,418,2,2,4
235,418,15,2,4
236,418,6,2,2
237,418,15,2,2
238,418,15,2,4
239,418,5,2,4
240,418,4,2,3
241,418,5,2,6
242,418,1,2,2
243,418,10,2,6
244,420,15,6,3
245,427,15,6,6
246,495,15,6,4
247,495,15,6,4
248,527,2,6,2
249,530,15,10,10
250,530,15,10,4
251,530,15,10,2
252,564,3,6,3
253,564,15,6,3
254,666,1,6,2
255,666,15,10,10
256,666,15,10,2
257,666,15,10,10
258,674,15,6,5
259,723,15,6,3
260,723,6,6,3
261,731,15,6,5
262,786,15,6,3
263,788,15,6,5
264,1004,15,10,10
265,1004,15,10,10
266,1004,15,10,10
267,1004,15,10,10
268,1004,15,10,10
269,1004,15,10,10
270,1004,15,10,10
271,1004,15,10,10
272,1004,15,10,10
273,1004,15,10,10
274,1004,15,10,10
275,1004,15,10,10
276,1004,15,10,10
277,1004,15,10,10
278,1004,15,10,10
279,1004,15,10,10
280,1004,15,10,10
281,1004,15,10,10
282,1004,15,10,10
283,1004,15,10,10
284,1004,15,10,10
285,1004,15,10,10
286,1004,15,10,10
287,1004,15,10,10
288,1004,15,10,10
289,1004,15,10,10
290,1004,15,10,10
291,1004,15,10,10
292,1004,15,10,10
293,1004,15,10,10
294,1004,15,10,10
295,1004,15,10,10
296,1004,15,10,10
297,1175,15,6,1
298,1175,15,6,2
299,1207,1,6,1
300,1207,4,6,2
301,1208,15,6,4
302,1247,1,6,1
303,1248,1,6,2
304,1248,15,10,10
305,1248,15,10,10
306,1248,15,10,2
307,1275,15,6,3
308,1298,2,6,3
309,1298,2,6,3
310,1298,1,6,3
311,1298,3,6,3
312,1298,2,6,3
313,1298,1,6,4
314,1298,3,6,6
315,1299,4,6,5
316,1365,15,6,2
317,1365,15,6,1
318,1385,15,6,1
319,1385,15,6,2
320,1405,1,6,1
321,1406,4,6,2
322,1406,15,6,4
323,1411,2,6,2
324,1411,1,6,2
325,1411,15,10,2
326,1411,15,10,10
327,1411,15,10,10
328,1411,1,6,2
329,1411,15,10,10
330,1411,15,10,2
331,1411,15,10,10
332,1412,15,10,2
333,1412,15,10,10
334,1412,15,10,10
335,1413,4,6,1
336,1414,4,6,2
337,1415,15,6,4
338,1449,1,6,1
339,1449,1,6,2
340,1449,15,10,10
341,1457,2,6,1
342,1457,1,6,2
343,1458,15,10,10
344,1458,15,10,2
345,1458,15,10,10
346,1458,15,10,10
347,1458,15,10,10
348,1498,15,6,4
349,1498,15,6,4
350,1514,15,10,10
351,1514,15,10,10
352,1529,15,10,10
353,1529,15,10,10
354,1529,15,10,10
355,1529,15,10,10
356,1529,15,10,10
357,1529,15,10,10
358,1529,15,10,10
359,1529,15,10,10
360,1529,15,10,10
361,1529,15,10,10
362,1529,15,10,10
363,1529,15,10,10
364,1529,15,10,10
365,1529,15,10,10
366,1529,15,10,10
367,1529,15,10,10
368,1529,15,10,10
369,1529,15,10,10
370,1529,15,10,10
371,1529,15,10,10
372,1529,15,10,10
373,1529,15,10,10
374,1529,15,10,10
375,1529,15,10,10
376,1529,15,10,10
377,1529,15,10,10
378,1529,15,10,10
379,1529,15,10,10
380,1529,15,10,10
381,1529,15,10,10
