job_id,arrival_time,duration,res_0,res_1
0,0,15,1,1
1,0,9,1,1
2,0,15,1,1
3,0,15,1,1
4,0,15,2,1
5,0,15,1,1
6,0,15,2,5
7,0,15,1,1
8,0,15,1,1
9,0,15,1,1
10,0,15,1,1
11,0,15,1,1
12,0,15,1,1
13,0,2,1,1
14,0,15,1,1
15,0,15,1,1
16,0,15,10,10
17,0,15,1,1
18,0,15,1,1
19,0,15,1,1
20,0,15,1,1
21,0,15,1,1
22,0,15,1,1
23,0,15,2,5
24,0,15,1,1
25,0,15,10,10
26,0,1,3,5
27,0,15,3,5
28,0,15,1,1
29,0,15,1,1
30,0,1,1,1
31,0,15,3,5
32,0,15,1,1
33,0,15,2,1
34,0,15,2,1
35,0,15,2,1
36,0,15,1,5
37,0,15,2,1
38,0,15,1,1
39,0,2,3,5
40,0,15,1,1
41,0,15,1,1
42,0,1,3,5
43,0,15,1,1
44,0,15,1,1
45,0,15,1,1
46,0,15,2,1
47,0,15,2,1
48,0,8,2,5
49,0,15,1,1
50,0,15,3,5
51,0,15,1,1
52,0,15,2,5
53,0,15,1,1
54,0,15,1,1
55,0,15,1,1
56,0,15,1,1
57,0,15,1,1
58,0,15,1,1
59,0,15,3,5
60,0,15,1,1
61,0,15,1,1
62,0,15,1,1
63,0,15,1,1
64,0,15,3,5
65,0,15,2,5
66,0,15,1,1
67,0,15,1,1
68,0,15,3,5
69,0,15,1,1
70,0,15,3,5
71,0,15,1,1
72,0,15,2,5
73,0,15,2,1
74,0,15,1,1
75,0,15,1,1
76,0,15,1,1
77,0,15,2,5
78,0,15,1,1
79,0,15,3,5
80,0,15,1,1
81,0,15,1,1
82,0,15,1,1
83,0,15,2,5
84,0,15,1,1
85,0,15,1,1
86,0,15,3,5
87,0,15,1,1
88,0,15,2,5
89,0,15,1,1
90,0,15,1,1
91,0,15,2,1
92,0,2,1,1
93,0,15,2,1
94,0,15,1,1
95,0,15,1,1
96,0,15,1,1
97,0,15,1,1
98,0,15,1,1
99,0,15,1,1
100,0,15,1,1
101,0,15,1,1
102,0,15,1,1
103,0,15,2,1
104,0,15,1,1
105,0,15,2,5
106,0,15,1,1
107,0,15,1,1
108,0,15,1,1
109,0,15,1,1
110,0,15,1,1
111,0,15,1,1
112,0,15,1,1
113,0,15,1,1
114,0,15,1,1
115,0,15,2,1
116,0,2,3,5
117,0,15,1,1
118,0,15,1,1
119,0,15,2,5
120,0,15,1,1
121,0,15,1,1
122,0,15,1,1
123,0,15,1,1
124,0,15,1,1
125,0,15,1,1
126,0,15,1,1
127,0,15,1,1
128,0,15,1,1
129,0,15,1,1
130,0,15,1,1
131,0,15,1,1
132,0,15,1,1
133,0,15,1,1
134,0,15,1,1
135,0,15,1,1
136,0,15,1,1
137,0,15,1,1
138,0,15,3,5
139,0,15,3,5
140,0,15,2,1
141,0,15,2,1
142,0,15,2,5
143,0,15,1,1
144,0,15,1,1
145,0,15,1,1
146,0,15,1,1
147,0,15,1,1
148,0,15,1,1
149,0,15,1,1
150,0,15,1,1
151,0,15,2,5
152,0,15,2,5
153,0,15,1,1
154,0,15,2,5
155,0,15,1,1
156,0,15,1,1
157,0,15,1,1
158,0,15,2,5
159,0,15,1,1
160,0,15,1,1
161,0,15,10,10
162,0,15,1,1
163,0,15,2,1
164,0,15,2,5
165,0,15,1,1
166,0,15,1,1
167,0,15,3,5
168,0,12,1,5
169,0,15,1,1
170,0,15,1,1
171,0,15,1,1
172,0,15,1,1
173,0,15,1,1
174,0,15,1,1
175,0,15,2,5
176,0,15,2,1
177,0,15,1,1
178,0,15,1,1
179,0,15,2,1
180,0,15,1,1
181,0,15,1,1
182,0,15,1,1
183,0,15,1,1
184,0,15,1,1
185,0,15,1,1
186,0,15,1,1
187,0,15,1,1
188,0,15,1,1
189,0,15,2,5
190,0,15,2,1
191,0,15,1,1
192,0,15,1,1
193,0,15,1,1
194,0,15,3,5
195,0,15,1,1
196,0,15,1,1
197,0,15,1,1
198,0,15,1,1
199,0,15,1,1
200,0,15,2,1
201,0,15,1,1
202,0,15,1,1
203,0,15,1,1
204,0,15,1,1
205,0,14,1,1
206,0,15,1,1
207,0,15,1,1
208,0,15,3,5
209,0,15,1,1
210,0,15,1,1
211,0,15,1,1
212,0,15,1,1
213,0,15,1,1
214,0,15,1,1
215,0,15,1,1
216,0,15,1,1
217,0,15,1,1
218,0,1,3,5
219,0,15,1,1
220,0,5,2,5
221,0,15,1,1
222,0,15,3,5
223,0,15,2,1
224,0,15,1,1
225,0,15,2,5
226,0,15,1,1
227,0,15,1,1
228,0,15,1,1
229,0,15,1,1
230,0,15,2,1
231,0,15,1,1
232,0,15,1,1
233,0,15,1,1
234,0,15,1,1
235,0,15,1,1
236,0,15,1,1
237,0,15,1,1
238,0,15,2,1
239,0,15,1,1
240,0,15,3,5
241,0,15,1,1
242,0,15,1,1
243,0,15,1,1
244,0,15,10,10
245,0,15,1,1
246,0,15,1,1
247,0,15,1,1
248,0,15,1,1
249,0,15,2,5
250,0,15,1,1
251,0,15,1,1
252,0,15,1,1
253,0,15,1,1
254,0,1,1,1
255,0,15,1,1
256,0,15,1,1
257,0,15,1,1
258,0,1,2,5
259,0,15,2,5
260,0,15,1,1
261,0,15,1,1
262,0,15,1,1
263,0,15,1,1
264,0,15,2,1
265,0,15,1,1
266,0,15,1,1
267,0,15,1,1
268,0,15,1,1
269,0,15,2,5
270,0,15,1,1
271,0,15,3,5
272,0,1,2,5
273,0,15,1,1
274,0,15,1,1
275,0,15,1,1
276,0,15,1,1
277,0,15,1,1
278,0,15,1,1
279,0,15,1,1
280,0,15,1,1
281,0,15,2,5
282,0,15,1,1
283,0,15,1,1
284,0,15,3,5
285,0,15,1,1
286,0,15,1,1
287,0,15,2,1
288,0,15,1,1
289,0,15,1,1
290,0,15,1,1
291,0,15,1,1
292,0,15,2,5
293,0,15,1,1
294,0,15,2,5
295,0,15,1,1
296,0,15,1,1
297,0,15,1,1
298,0,15,2,5
299,0,15,1,1
